GAME_ID	SEASON	LEAGUE	PLAYER	TEAM	MATCHUP	MIN	PTS	2PM	2PA	3PM	3PA	FTM	FTA	DREB	OREB	REB	AST	STL	BLK	TOV	PF
1	2025-26	NBB	PEDRO NUNES	VASCO DA GAMA	2025-10-18, VAS vs FOR	35	20	4	5	4	8	0	1	4	1	5	9	3	0	2	2
1	2025-26	NBB	G. BASILIO	VASCO DA GAMA	2025-10-18, VAS vs FOR	40	16	2	6	3	7	3	4	4	2	6	5	0	0	3	1
1	2025-26	NBB	MAGNA	VASCO DA GAMA	2025-10-18, VAS vs FOR	33	15	4	8	1	3	4	4	3	1	4	2	2	0	3	4
1	2025-26	NBB	ZIBECCHI	VASCO DA GAMA	2025-10-18, VAS vs FOR	26	13	2	6	3	7	0	2	1	4	5	5	0	0	2	3
1	2025-26	NBB	HONORATO	VASCO DA GAMA	2025-10-18, VAS vs FOR	17	9	3	5	0	0	3	4	5	2	7	0	0	0	1	2
1	2025-26	NBB	ELIAS	VASCO DA GAMA	2025-10-18, VAS vs FOR	24	4	2	5	0	4	0	0	2	2	4	2	2	0	2	3
1	2025-26	NBB	ALE	VASCO DA GAMA	2025-10-18, VAS vs FOR	23	1	0	4	0	4	1	2	3	1	4	3	0	0	2	3
1	2025-26	NBB	JONATHAN	VASCO DA GAMA	2025-10-18, VAS vs FOR	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1	2025-26	NBB	ALBERTON	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	17	16	5	6	0	0	6	6	4	5	9	1	2	0	2	4
1	2025-26	NBB	DUPREE	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	33	15	2	7	1	3	8	10	5	1	6	5	2	0	1	3
1	2025-26	NBB	GOHLKE	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	31	14	1	2	4	7	0	0	2	1	3	3	1	0	1	2
1	2025-26	NBB	DA SILVA	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	20	14	4	9	0	0	6	7	0	4	4	2	0	0	0	0
1	2025-26	NBB	GABRIEL	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	21	13	2	3	3	5	0	0	3	0	3	1	0	0	2	4
1	2025-26	NBB	POPOVIC	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	18	5	1	6	1	3	0	0	3	2	5	1	4	0	1	3
1	2025-26	NBB	SALSAMENDI	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	22	4	2	5	0	0	0	0	1	0	1	5	1	0	0	4
1	2025-26	NBB	JEANZINHO	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	24	4	1	4	0	2	2	2	2	0	2	5	1	1	2	1
1	2025-26	NBB	AUGUSTO VIEIRA	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	4	3	0	0	1	2	0	0	0	0	0	0	0	0	0	1
1	2025-26	NBB	SAMUEL	FORTALEZA BASQUETE CEARENSE	2025-10-18, VAS vs FOR	10	0	0	0	0	1	0	0	3	0	3	1	0	2	0	0
2	2025-26	NBB	SENA	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	21	12	4	9	0	1	4	4	2	2	4	0	1	1	2	0
2	2025-26	NBB	I. THORNTON	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	34	10	2	6	1	4	3	4	3	2	5	1	1	0	2	2
2	2025-26	NBB	CASSIANO	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	24	9	1	11	1	4	4	4	4	2	6	3	0	0	1	2
2	2025-26	NBB	ANSALONI	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	17	9	4	7	0	0	1	2	4	1	5	0	0	0	1	3
2	2025-26	NBB	JJ	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	33	7	3	7	0	6	1	1	3	1	4	1	2	0	3	3
2	2025-26	NBB	DU SOMMER	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	22	5	1	5	1	2	0	0	3	1	4	0	1	0	1	1
2	2025-26	NBB	LEO ABREU	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	35	5	1	5	1	2	0	2	6	3	9	7	1	0	3	2
2	2025-26	NBB	LUDWIG	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	6	3	1	1	0	2	1	1	0	0	0	0	0	0	0	2
2	2025-26	NBB	TULIO	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	5	2	1	1	0	0	0	0	0	1	1	1	1	0	1	3
2	2025-26	NBB	EMERSON	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
2	2025-26	NBB	BRUNINHO	CRUZEIRO BASQUETE	2025-10-18, CRU vs SJO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2025-26	NBB	LESSA	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	27	17	0	2	3	4	8	10	1	0	1	1	1	0	2	3
2	2025-26	NBB	ADYEL	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	28	17	2	5	4	9	1	2	6	1	7	5	4	0	4	1
2	2025-26	NBB	CAUE	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	32	12	3	3	2	7	0	0	4	0	4	6	0	0	2	2
2	2025-26	NBB	MAIQUE	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	22	12	2	5	2	2	2	2	6	0	6	1	1	1	1	4
2	2025-26	NBB	MILLER	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	32	8	2	3	1	3	1	1	5	1	6	1	1	0	1	1
2	2025-26	NBB	ANDERSON	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	17	6	2	6	0	0	2	3	3	0	3	0	0	0	2	4
2	2025-26	NBB	NICKEL	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	4	6	1	1	0	1	4	4	0	0	0	0	0	0	0	0
2	2025-26	NBB	DOS SANTOS	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	17	4	1	1	0	3	2	2	2	1	3	0	0	0	1	3
2	2025-26	NBB	LEO CRAVERO	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	18	3	0	2	1	3	0	0	9	2	11	0	0	0	1	2
2	2025-26	NBB	FORESTI	MR. MOO SAO JOSE BASKETBALL	2025-10-18, CRU vs SJO	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2
3	2025-26	NBB	ANDREZAO	BAURU BASKET	2025-10-18, BAU vs FLA	31	25	10	15	0	0	5	6	10	5	15	0	1	0	5	2
3	2025-26	NBB	EUGENIUSZ	BAURU BASKET	2025-10-18, BAU vs FLA	32	23	4	8	3	6	6	6	1	1	2	5	0	0	1	3
3	2025-26	NBB	AUGUSTO	BAURU BASKET	2025-10-18, BAU vs FLA	11	10	1	1	2	2	2	2	1	0	1	0	0	0	0	1
3	2025-26	NBB	GEMERSON	BAURU BASKET	2025-10-18, BAU vs FLA	27	8	1	1	2	9	0	0	5	1	6	1	0	0	2	4
3	2025-26	NBB	PEDRO	BAURU BASKET	2025-10-18, BAU vs FLA	25	8	1	2	2	3	0	0	0	1	1	3	1	0	1	2
3	2025-26	NBB	ALEX	BAURU BASKET	2025-10-18, BAU vs FLA	31	8	2	3	1	4	1	1	1	0	1	9	3	0	4	3
3	2025-26	NBB	VITHINHO	BAURU BASKET	2025-10-18, BAU vs FLA	20	4	1	2	0	2	2	2	2	1	3	2	1	0	2	0
3	2025-26	NBB	GUSTAVO	BAURU BASKET	2025-10-18, BAU vs FLA	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
3	2025-26	NBB	MOREIRA	BAURU BASKET	2025-10-18, BAU vs FLA	10	0	0	1	0	0	0	0	1	1	2	0	1	1	3	4
3	2025-26	NBB	MOGI	BAURU BASKET	2025-10-18, BAU vs FLA	8	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1
3	2025-26	NBB	WESLEY	FLAMENGO	2025-10-18, BAU vs FLA	21	22	9	10	1	1	1	1	3	3	6	0	3	0	2	3
3	2025-26	NBB	CUMMINGS	FLAMENGO	2025-10-18, BAU vs FLA	23	20	3	3	3	5	5	7	1	2	3	2	1	0	0	2
3	2025-26	NBB	ALEXEY	FLAMENGO	2025-10-18, BAU vs FLA	31	12	6	10	0	3	0	0	4	0	4	9	0	0	3	2
3	2025-26	NBB	GUI	FLAMENGO	2025-10-18, BAU vs FLA	26	12	1	1	3	6	1	2	1	1	2	1	0	0	0	1
3	2025-26	NBB	NEGRETE	FLAMENGO	2025-10-18, BAU vs FLA	19	10	3	3	1	2	1	2	3	0	3	1	0	0	1	0
3	2025-26	NBB	BOST	FLAMENGO	2025-10-18, BAU vs FLA	17	7	1	3	1	3	2	2	1	0	1	3	0	1	2	2
3	2025-26	NBB	DORIA	FLAMENGO	2025-10-18, BAU vs FLA	15	7	3	4	0	0	1	1	2	4	6	0	2	0	0	4
3	2025-26	NBB	JOHNSON SR.	FLAMENGO	2025-10-18, BAU vs FLA	24	6	0	1	1	4	3	3	2	0	2	2	1	0	0	1
3	2025-26	NBB	KAYO	FLAMENGO	2025-10-18, BAU vs FLA	11	4	0	1	1	6	1	2	1	0	1	0	0	0	1	2
3	2025-26	NBB	JHONATAN	FLAMENGO	2025-10-18, BAU vs FLA	12	2	1	1	0	0	0	0	1	1	2	0	0	0	1	0
3	2025-26	NBB	MANEL	FLAMENGO	2025-10-18, BAU vs FLA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2025-26	NBB	FISCHER	KTO MINAS	2025-10-18, MIN vs COR	29	20	0	2	6	8	2	2	0	1	1	2	0	1	4	3
4	2025-26	NBB	MCCREE	KTO MINAS	2025-10-18, MIN vs COR	27	15	2	5	2	4	5	7	4	0	4	2	1	2	3	2
4	2025-26	NBB	YURI	KTO MINAS	2025-10-18, MIN vs COR	25	12	3	4	2	9	0	0	5	3	8	2	1	0	1	0
4	2025-26	NBB	PARANHOS	KTO MINAS	2025-10-18, MIN vs COR	19	10	5	6	0	0	0	0	4	0	4	2	2	0	1	3
4	2025-26	NBB	ARENGO	KTO MINAS	2025-10-18, MIN vs COR	19	9	1	1	1	2	4	6	1	0	1	2	1	0	0	1
4	2025-26	NBB	FUZARO	KTO MINAS	2025-10-18, MIN vs COR	12	6	0	0	2	2	0	0	1	1	2	1	0	0	1	1
4	2025-26	NBB	DAVIS JR.	KTO MINAS	2025-10-18, MIN vs COR	17	4	2	3	0	1	0	0	0	1	1	7	0	0	1	1
4	2025-26	NBB	R. RACHEL	KTO MINAS	2025-10-18, MIN vs COR	13	3	0	1	1	5	0	0	3	0	3	0	0	0	0	2
4	2025-26	NBB	WINI SILVA	KTO MINAS	2025-10-18, MIN vs COR	21	3	0	5	0	0	3	4	5	3	8	2	1	1	0	4
4	2025-26	NBB	CESAR	KTO MINAS	2025-10-18, MIN vs COR	10	1	0	0	0	2	1	2	0	1	1	0	1	0	0	2
4	2025-26	NBB	RODRIGUEZ	KTO MINAS	2025-10-18, MIN vs COR	8	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0
4	2025-26	NBB	THOMAS	CORINTHIANS	2025-10-18, MIN vs COR	36	21	9	11	0	3	3	3	3	2	5	3	1	1	2	1
4	2025-26	NBB	CLARK	CORINTHIANS	2025-10-18, MIN vs COR	28	17	3	5	3	8	2	2	3	0	3	5	4	0	2	3
4	2025-26	NBB	NOVAES	CORINTHIANS	2025-10-18, MIN vs COR	25	10	3	6	1	2	1	2	3	1	4	1	0	0	0	2
4	2025-26	NBB	ELINHO	CORINTHIANS	2025-10-18, MIN vs COR	37	9	1	2	2	10	1	2	3	0	3	9	3	1	3	2
4	2025-26	NBB	VICTAO	CORINTHIANS	2025-10-18, MIN vs COR	22	6	3	4	0	2	0	0	2	1	3	0	0	0	1	5
4	2025-26	NBB	RAYMUNDO	CORINTHIANS	2025-10-18, MIN vs COR	7	6	2	3	0	0	2	2	0	0	0	2	0	0	1	3
4	2025-26	NBB	MUNFORD	CORINTHIANS	2025-10-18, MIN vs COR	26	6	2	4	0	2	2	2	1	1	2	1	0	0	1	3
4	2025-26	NBB	LUCAS CAUE	CORINTHIANS	2025-10-18, MIN vs COR	17	6	3	5	0	0	0	0	4	1	5	0	0	0	0	2
