GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
2003986,2025-26,BBL,NIELS GIFFEY,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",22,13,2,3,3,5,0,0,1,0,1,1,0,1,1,1
2003986,2025-26,BBL,LEON KRATZER,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",19,0,0,2,0,0,0,2,2,0,2,1,2,2,2,3
2003986,2025-26,BBL,OSCAR DA SILVA,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",18,9,4,4,0,0,1,1,1,2,3,3,1,1,2,3
2003986,2025-26,BBL,VLADIMIR LUCIC,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",24,19,3,4,2,4,7,7,6,1,7,1,1,0,1,2
2003986,2025-26,BBL,STEFAN JOVIC,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",21,12,4,4,1,2,1,2,2,2,4,3,1,0,2,0
2003986,2025-26,BBL,ISIAHA MIKE,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",21,2,1,2,0,2,0,0,4,2,6,1,0,0,0,2
2003986,2025-26,BBL,KAMAR BALDWIN,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",24,10,3,6,1,2,1,1,2,0,2,3,2,0,1,0
2003986,2025-26,BBL,JUSTINIAN JESSUP,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",19,11,3,5,1,4,2,2,1,1,2,3,0,0,1,4
2003986,2025-26,BBL,KILIAN MAURICE FISCHER,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2003986,2025-26,BBL,NIKOLAS SERMPEZIS,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003986,2025-26,BBL,NICLAS NERUDA KODJOE,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2003986,2025-26,BBL,XAVIER RATHAN-MAYES,FC BAYERN MUNCHEN BASKETBALL,"2025-09-26, FCB vs JEN",25,17,7,9,1,8,0,0,10,1,11,5,1,1,2,2
2003986,2025-26,BBL,ROBIN CHRISTEN,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",14,0,0,0,0,2,0,0,1,0,1,0,1,0,2,2
2003986,2025-26,BBL,KRISTOFER KRAUSE,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",18,4,2,3,0,1,0,0,1,0,1,0,1,0,0,2
2003986,2025-26,BBL,CHRIS CARTER,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",17,4,2,2,0,3,0,0,0,1,1,0,1,0,0,1
2003986,2025-26,BBL,ERIC WASHINGTON,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",28,15,4,7,2,6,1,1,2,1,3,3,2,0,4,3
2003986,2025-26,BBL,ALEX HERRERA,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003986,2025-26,BBL,LORENZ BANK,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",21,3,0,0,1,2,0,0,5,0,5,0,0,0,1,2
2003986,2025-26,BBL,NAZ BOHANNON,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",20,9,4,8,0,0,1,2,1,2,3,1,0,0,1,5
2003986,2025-26,BBL,KEITH BRAXTON JR,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",28,9,3,4,1,4,0,0,4,2,6,3,0,0,0,4
2003986,2025-26,BBL,GREAT OSOBOR,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",24,13,3,8,2,6,1,2,4,0,4,0,2,0,2,1
2003986,2025-26,BBL,TAVIAN DUNN-MARTIN,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",26,20,0,2,6,10,2,2,1,1,2,1,1,0,1,0
2003986,2025-26,BBL,DANIEL BIEL,SCIENCE CITY JENA,"2025-09-26, FCB vs JEN",3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2003989,2025-26,BBL,JONATHAN BAHRE,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",20,5,1,2,1,2,0,2,1,2,3,1,1,0,1,2
2003989,2025-26,BBL,JOEL AMINU,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",25,7,3,4,0,5,1,2,5,1,6,2,0,0,1,2
2003989,2025-26,BBL,MICHAEL KESSENS,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",17,0,0,1,0,0,0,0,4,2,6,2,2,0,2,5
2003989,2025-26,BBL,MELVIN JOSTMANN,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",21,5,1,3,1,3,0,0,1,0,1,0,1,0,0,3
2003989,2025-26,BBL,GRAYSON MURPHY,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",28,12,3,5,2,6,0,0,6,0,6,1,0,0,2,1
2003989,2025-26,BBL,JORGE MEJIAS SANCHEZ,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",4,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0
2003989,2025-26,BBL,ALIJAH COMITHIER,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",24,10,4,8,0,2,2,3,2,1,3,2,0,0,2,3
2003989,2025-26,BBL,TYLAN BIRTS,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",32,11,5,7,0,7,1,2,2,2,4,0,0,0,2,2
2003989,2025-26,BBL,KUR JONGKUCH,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",18,2,1,1,0,0,0,0,2,0,2,1,0,0,0,5
2003989,2025-26,BBL,JORDAN HARRIS,TELEKOM BASKETS BONN,"2025-09-27, BON vs WUE",10,9,4,4,0,1,1,2,0,1,1,0,0,0,2,2
2003989,2025-26,BBL,ALEN PJANIC,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",21,4,2,3,0,1,0,0,1,1,2,0,1,0,0,1
2003989,2025-26,BBL,EDDY EDIGIN JR,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",26,6,1,3,0,0,4,8,6,0,6,0,1,0,1,4
2003989,2025-26,BBL,LUKAS HERZOG,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",4,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0
2003989,2025-26,BBL,CHRISTIAN SKLADANOWSKI,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",17,2,0,1,0,1,2,4,2,1,3,1,1,0,0,1
2003989,2025-26,BBL,JOHNATHAN STOVE,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",24,10,2,3,2,4,0,0,4,1,5,2,0,0,1,2
2003989,2025-26,BBL,BRAE IVEY,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",22,9,0,2,3,6,0,0,2,0,2,5,0,0,3,2
2003989,2025-26,BBL,DAVID MUENKAT,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",23,7,2,3,1,4,0,1,8,0,8,1,0,1,2,1
2003989,2025-26,BBL,LEO SAFFER,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2003989,2025-26,BBL,JERVIS SCHEFFS,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003989,2025-26,BBL,DAVION MINTZ,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",28,11,2,4,2,6,1,2,1,0,1,4,1,0,0,2
2003989,2025-26,BBL,MARCUS CARR,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",21,15,2,3,2,3,5,6,2,0,2,4,0,0,2,3
2003989,2025-26,BBL,CHARLES THOMPSON,FITNESS FIRST WURZBURG BASKETS,"2025-09-27, BON vs WUE",10,4,1,2,0,0,2,2,1,1,2,0,0,2,1,4
2003987,2025-26,BBL,JOSCHKA FERNER,RASTA VECHTA,"2025-09-27, VEC vs HDB",15,3,0,0,1,1,0,2,1,0,1,0,0,0,0,3
