TEAM,CODE,MATCHUP,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
ALBA BERLIN,BER,"2026-09-18, BER vs CHE",89,24,37,8,38,17,22,29,21,50,25,8,3,18,26
NINERS CHEMNITZ,CHE,"2026-09-18, BER vs CHE",82,25,43,4,24,20,24,23,12,35,15,11,0,18,24
TELEKOM BASKETS BONN,BON,"2026-09-19, BON vs HAM",96,19,39,13,27,19,24,29,12,41,20,5,3,6,19
VEOLIA TOWERS HAMBURG,HAM,"2026-09-19, BON vs HAM",72,17,37,10,32,8,13,24,14,38,19,2,0,12,23
ROSTOCK SEAWOLVES,HRO,"2026-09-19, HRO vs HAG",102,14,25,19,42,17,20,25,10,35,22,9,0,13,23
PHOENIX HAGEN,HAG,"2026-09-19, HRO vs HAG",92,17,36,13,28,19,22,24,9,33,18,5,0,14,23
BASKETBALL LOWEN BRAUNSCHWEIG,BRA,"2026-09-19, BRA vs TRI",116,22,35,19,35,15,20,26,12,38,21,5,3,19,26
VET-CONCEPT GLADIATORS TRIER,TRI,"2026-09-19, BRA vs TRI",107,23,41,12,36,25,33,19,19,38,29,10,3,12,22
FC BAYERN MUNCHEN BASKETBALL,FCB,"2026-09-20, FCB vs BAM",108,31,48,11,31,13,22,26,20,46,26,8,4,12,18
BMA365 BAMBERG BASKETS,BAM,"2026-09-20, FCB vs BAM",72,20,38,7,28,11,15,22,11,33,15,10,3,18,23
RATIOPHARM ULM,ULM,"2026-09-20, ULM vs LUD",86,24,47,6,22,20,27,31,13,44,19,7,3,11,25
MHP RIESEN LUDWIGSBURG,LUD,"2026-09-20, ULM vs LUD",77,10,33,14,39,15,22,28,18,46,16,5,3,13,23
EWE BASKETS OLDENBURG,OLD,"2026-09-20, OLD vs MBC",96,25,39,9,20,19,28,24,15,39,18,6,4,15,25
SYNTAINICS MBC,MBC,"2026-09-20, OLD vs MBC",81,19,40,8,23,19,29,14,14,28,11,5,0,9,25
RASTA VECHTA,VEC,"2026-09-24, VEC vs BAM",67,14,29,9,36,12,15,19,17,36,13,9,3,30,16
BMA365 BAMBERG BASKETS,BAM,"2026-09-24, VEC vs BAM",108,36,58,9,21,9,12,25,15,40,22,19,5,16,20
MHP RIESEN LUDWIGSBURG,LUD,"2026-09-24, LUD vs HRO",81,20,40,6,22,23,31,26,15,41,13,7,2,11,23
ROSTOCK SEAWOLVES,HRO,"2026-09-24, LUD vs HRO",78,12,25,14,37,12,22,25,15,40,19,5,2,18,29
ALBA BERLIN,BER,"2026-09-24, BER vs FRS",94,26,38,7,20,21,26,23,11,34,25,4,6,17,22
SKYLINERS,FRS,"2026-09-24, BER vs FRS",83,23,44,6,24,19,20,16,15,31,14,13,3,14,27
