GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,CODE,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
1,2025-26,Eurocup,ALEKSANDER WISNIEWSKI,WRO,WRO,"2025-09-30, WRO vs KLA",6,3,0,1,1,1,0,0,1,1,2,0,0,2,0,2
1,2025-26,Eurocup,BLAZEJ KULIKOWSKI,WRO,WRO,"2025-09-30, WRO vs KLA",21,11,1,1,3,4,0,0,1,1,2,1,1,0,0,2
1,2025-26,Eurocup,JAKUB URBANIAK,WRO,WRO,"2025-09-30, WRO vs KLA",5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2
1,2025-26,Eurocup,NOAH KIRKWOOD,WRO,WRO,"2025-09-30, WRO vs KLA",28,14,6,10,0,4,2,5,2,0,2,6,1,2,0,4
1,2025-26,Eurocup,AJDIN PENAVA,WRO,WRO,"2025-09-30, WRO vs KLA",17,5,2,4,0,1,1,2,0,3,3,1,1,0,1,1
1,2025-26,Eurocup,DEJON DAVIS,WRO,WRO,"2025-09-30, WRO vs KLA",21,7,2,4,1,1,0,0,3,0,3,1,0,0,0,1
1,2025-26,Eurocup,KADRE GRAY,WRO,WRO,"2025-09-30, WRO vs KLA",27,21,3,8,3,5,6,6,1,0,1,3,0,4,0,1
1,2025-26,Eurocup,ISSUF SANON,WRO,WRO,"2025-09-30, WRO vs KLA",19,11,2,2,2,6,1,2,6,0,6,2,1,0,0,4
1,2025-26,Eurocup,JARED COLEMAN -JONES,WRO,WRO,"2025-09-30, WRO vs KLA",13,4,1,4,0,0,2,2,3,1,4,1,0,1,1,2
1,2025-26,Eurocup,STEFAN DORDEVIC,WRO,WRO,"2025-09-30, WRO vs KLA",16,2,1,4,0,0,0,0,2,2,4,1,0,2,1,3
1,2025-26,Eurocup,JAKUB NIZIOL,WRO,WRO,"2025-09-30, WRO vs KLA",27,15,3,3,2,4,3,4,8,1,9,4,1,4,1,1
1,2025-26,Eurocup,HARRISON CLEARY,KLA,KLA,"2025-09-30, WRO vs KLA",11,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
1,2025-26,Eurocup,DONATAS TAROLIS,KLA,KLA,"2025-09-30, WRO vs KLA",20,13,3,9,1,4,4,6,2,3,5,1,2,0,0,0
1,2025-26,Eurocup,JORDAN TUCKER,KLA,KLA,"2025-09-30, WRO vs KLA",8,6,0,1,2,3,0,0,1,0,1,0,0,1,0,5
1,2025-26,Eurocup,RIHARDS LOMAZS,KLA,KLA,"2025-09-30, WRO vs KLA",29,10,1,3,1,6,5,5,1,0,1,4,3,2,0,3
1,2025-26,Eurocup,MINDAUGAS GIRDZIUNAS,KLA,KLA,"2025-09-30, WRO vs KLA",24,2,1,2,0,2,0,0,1,0,1,1,1,0,0,2
1,2025-26,Eurocup,MARTYNAS PACEVICIUS,KLA,KLA,"2025-09-30, WRO vs KLA",14,6,3,5,0,0,0,2,2,3,5,1,0,4,1,2
1,2025-26,Eurocup,ARNAS VELICKA,KLA,KLA,"2025-09-30, WRO vs KLA",32,16,4,8,2,10,2,3,3,3,6,10,4,2,0,1
1,2025-26,Eurocup,MATAS MACIJAUSKAS,KLA,KLA,"2025-09-30, WRO vs KLA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2025-26,Eurocup,ARNAS BERUCKA,KLA,KLA,"2025-09-30, WRO vs KLA",19,6,1,2,1,2,1,2,3,1,4,0,0,1,0,2
1,2025-26,Eurocup,ZANE WATERMAN,KLA,KLA,"2025-09-30, WRO vs KLA",23,12,2,3,2,5,2,4,3,0,3,2,1,0,1,3
1,2025-26,Eurocup,JAMES KARNIK,KLA,KLA,"2025-09-30, WRO vs KLA",18,14,6,11,0,0,2,2,4,2,6,0,0,1,1,2
2,2025-26,Eurocup,KAREL GUZMAN,CLU,CLU,"2025-10-01, CLU vs BAH",17,3,0,1,1,4,0,0,0,0,0,2,0,2,0,3
