GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,CODE,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
1,2025-26,Euroleague,SHANE LARKIN,IST,IST,"2025-09-30, IST vs TEL",33,14,5,8,0,4,4,6,3,1,4,5,0,2,0,3
1,2025-26,Euroleague,SEHMUS HAZER,IST,IST,"2025-09-30, IST vs TEL",8,0,0,1,0,2,0,0,2,2,4,0,1,4,0,1
1,2025-26,Euroleague,JORDAN LOYD,IST,IST,"2025-09-30, IST vs TEL",24,16,2,2,4,8,0,0,1,1,2,1,0,2,0,1
1,2025-26,Euroleague,NICK WEILER-BABB,IST,IST,"2025-09-30, IST vs TEL",23,12,1,1,3,4,1,1,4,0,4,3,2,1,0,3
1,2025-26,Euroleague,GEORGIOS PAPAGIANNIS,IST,IST,"2025-09-30, IST vs TEL",13,2,1,2,0,1,0,0,3,4,7,1,0,0,0,2
1,2025-26,Euroleague,ISAIA CORDINIER,IST,IST,"2025-09-30, IST vs TEL",31,7,3,7,0,4,1,1,1,2,3,2,0,0,0,2
1,2025-26,Euroleague,ROLANDS SMITS,IST,IST,"2025-09-30, IST vs TEL",16,16,5,7,2,3,0,0,2,1,3,1,1,0,0,2
1,2025-26,Euroleague,COLE SWIDER,IST,IST,"2025-09-30, IST vs TEL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2025-26,Euroleague,ERCAN OSMANI,IST,IST,"2025-09-30, IST vs TEL",32,12,4,7,0,3,4,5,2,2,4,2,2,3,0,2
1,2025-26,Euroleague,ERKAN YILMAZ,IST,IST,"2025-09-30, IST vs TEL",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,2025-26,Euroleague,KAI JONES,IST,IST,"2025-09-30, IST vs TEL",17,6,2,2,0,0,2,2,5,0,5,0,0,1,1,3
1,2025-26,Euroleague,JAYLEN HOARD,TEL,TEL,"2025-09-30, IST vs TEL",32,15,3,6,2,3,3,4,6,3,9,2,0,1,0,0
1,2025-26,Euroleague,JIMMY CLARK III,TEL,TEL,"2025-09-30, IST vs TEL",17,7,3,9,0,2,1,1,1,2,3,1,3,1,0,5
1,2025-26,Euroleague,MARCIO SANTOS,TEL,TEL,"2025-09-30, IST vs TEL",14,6,2,3,0,1,2,2,0,0,0,0,0,2,1,2
1,2025-26,Euroleague,UROS TRIFUNOVIC,TEL,TEL,"2025-09-30, IST vs TEL",3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2025-26,Euroleague,LONNIE WALKER IV,TEL,TEL,"2025-09-30, IST vs TEL",15,3,0,0,1,6,0,0,0,1,1,0,3,0,0,0
1,2025-26,Euroleague,ROMAN SORKIN,TEL,TEL,"2025-09-30, IST vs TEL",26,15,5,7,0,2,5,5,1,1,2,0,0,0,0,2
1,2025-26,Euroleague,O'SHAE J BRISSETT,TEL,TEL,"2025-09-30, IST vs TEL",25,9,3,6,1,3,0,1,6,1,7,1,0,1,0,4
1,2025-26,Euroleague,WILLIAM RAYMAN,TEL,TEL,"2025-09-30, IST vs TEL",7,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1
1,2025-26,Euroleague,JOHN DIBARTOLOMEO,TEL,TEL,"2025-09-30, IST vs TEL",9,4,1,1,0,1,2,2,1,1,2,1,1,0,0,1
1,2025-26,Euroleague,JEFFREY DOWTIN JR,TEL,TEL,"2025-09-30, IST vs TEL",20,8,2,2,1,3,1,1,0,0,0,5,0,3,1,2
1,2025-26,Euroleague,TJ LEAF,TEL,TEL,"2025-09-30, IST vs TEL",8,3,1,1,0,0,1,1,1,0,1,1,1,0,1,2
1,2025-26,Euroleague,TAMIR BLATT,TEL,TEL,"2025-09-30, IST vs TEL",24,6,0,2,2,4,0,0,2,0,2,9,0,4,0,1
2,2025-26,Euroleague,MARKUS HOWARD,BAS,BAS,"2025-09-30, BAS vs OLY",22,12,0,1,4,11,0,0,0,0,0,2,0,2,0,4
2,2025-26,Euroleague,MARKQUIS NOWELL,BAS,BAS,"2025-09-30, BAS vs OLY",14,6,1,1,1,4,1,2,1,0,1,2,1,4,0,3
2,2025-26,Euroleague,RAFA VILLAR,BAS,BAS,"2025-09-30, BAS vs OLY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025-26,Euroleague,HAMIDOU DIALLO,BAS,BAS,"2025-09-30, BAS vs OLY",20,15,6,8,0,2,3,4,1,4,5,1,1,1,0,2
2,2025-26,Euroleague,TADAS SEDEKERSKIS,BAS,BAS,"2025-09-30, BAS vs OLY",25,8,1,1,2,6,0,0,3,2,5,2,0,1,0,1
2,2025-26,Euroleague,TIMOTHE LUWAWU-CABARROT,BAS,BAS,"2025-09-30, BAS vs OLY",25,23,3,5,5,8,2,2,5,1,6,2,1,1,0,4
2,2025-26,Euroleague,MATTEO SPAGNOLO,BAS,BAS,"2025-09-30, BAS vs OLY",10,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1
2,2025-26,Euroleague,TRENT FORREST,BAS,BAS,"2025-09-30, BAS vs OLY",30,14,4,7,0,3,6,6,2,0,2,10,2,1,0,2
2,2025-26,Euroleague,KHALIFA DIOP,BAS,BAS,"2025-09-30, BAS vs OLY",21,3,1,2,0,0,1,2,2,5,7,3,1,0,2,3
2,2025-26,Euroleague,CLEMENT FRISCH,BAS,BAS,"2025-09-30, BAS vs OLY",14,8,1,1,2,4,0,0,2,0,2,0,0,0,1,1
2,2025-26,Euroleague,STEFAN JOKSIMOVIC,BAS,BAS,"2025-09-30, BAS vs OLY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025-26,Euroleague,LUKA SAMANIC,BAS,BAS,"2025-09-30, BAS vs OLY",18,7,2,4,1,3,0,0,2,0,2,0,0,3,0,2
2,2025-26,Euroleague,THOMAS WALKUP,OLY,OLY,"2025-09-30, BAS vs OLY",28,5,1,3,1,3,0,0,1,3,4,8,3,0,0,4
2,2025-26,Euroleague,TYSON WARD,OLY,OLY,"2025-09-30, BAS vs OLY",15,11,1,1,1,1,6,6,1,0,1,1,0,1,0,1
2,2025-26,Euroleague,SABEN LEE,OLY,OLY,"2025-09-30, BAS vs OLY",15,4,2,3,0,0,0,0,0,0,0,2,1,0,0,0
2,2025-26,Euroleague,SASHA VEZENKOV,OLY,OLY,"2025-09-30, BAS vs OLY",29,24,6,12,2,8,6,6,8,5,13,1,0,2,0,1
2,2025-26,Euroleague,KOSTAS PAPANIKOLAOU,OLY,OLY,"2025-09-30, BAS vs OLY",5,0,0,0,0,0,0,0,1,0,1,2,0,2,0,1
2,2025-26,Euroleague,TYLER DORSEY,OLY,OLY,"2025-09-30, BAS vs OLY",32,21,3,6,2,8,9,10,3,1,4,3,2,2,0,1
2,2025-26,Euroleague,ALEC PETERS,OLY,OLY,"2025-09-30, BAS vs OLY",11,7,2,4,1,1,0,0,0,0,0,0,1,1,0,1
2,2025-26,Euroleague,NIKOLA MILUTINOV,OLY,OLY,"2025-09-30, BAS vs OLY",25,12,4,7,0,0,4,4,7,7,14,0,1,0,0,1
2,2025-26,Euroleague,DONTA HALL,OLY,OLY,"2025-09-30, BAS vs OLY",15,8,3,6,0,0,2,2,1,1,2,0,1,0,0,3
2,2025-26,Euroleague,EVAN FOURNIER,OLY,OLY,"2025-09-30, BAS vs OLY",25,10,3,4,0,5,4,4,1,0,1,2,1,1,0,3
3,2025-26,Euroleague,CODI MILLER-MCINTYRE,RED,RED,"2025-09-30, RED vs MIL",29,14,5,9,1,3,1,3,2,0,2,6,1,2,0,1
3,2025-26,Euroleague,STEFAN MILJENOVIC,RED,RED,"2025-09-30, RED vs MIL",8,0,0,1,0,1,0,0,0,0,0,2,0,1,0,2
3,2025-26,Euroleague,DEJAN DAVIDOVAC,RED,RED,"2025-09-30, RED vs MIL",14,0,0,1,0,0,0,0,1,2,3,0,0,0,0,1
3,2025-26,Euroleague,TYSON CARTER,RED,RED,"2025-09-30, RED vs MIL",24,16,6,9,1,3,1,1,2,1,3,2,1,3,0,4
3,2025-26,Euroleague,NIKOLA KALINIC,RED,RED,"2025-09-30, RED vs MIL",27,10,2,2,2,3,0,0,1,0,1,5,2,1,0,5
3,2025-26,Euroleague,JASIEL RIVERO,RED,RED,"2025-09-30, RED vs MIL",9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-26,Euroleague,IZUNDU EBUKA,RED,RED,"2025-09-30, RED vs MIL",21,14,7,7,0,0,0,0,1,2,3,1,1,1,0,1
3,2025-26,Euroleague,JORDAN NWORA,RED,RED,"2025-09-30, RED vs MIL",30,19,6,10,2,6,1,2,4,2,6,1,2,1,0,2
3,2025-26,Euroleague,SEMI OJELEYE,RED,RED,"2025-09-30, RED vs MIL",14,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2
3,2025-26,Euroleague,OGNJEN RADOSIC,RED,RED,"2025-09-30, RED vs MIL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-26,Euroleague,CHIMA MONEKE,RED,RED,"2025-09-30, RED vs MIL",23,9,2,5,0,1,5,7,6,2,8,2,1,1,0,3
3,2025-26,Euroleague,VLATKO CANCAR,MIL,MIL,"2025-09-30, RED vs MIL",5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,2025-26,Euroleague,NICCOLO MANNION,MIL,MIL,"2025-09-30, RED vs MIL",26,9,3,4,1,2,0,0,2,0,2,5,0,3,0,3
3,2025-26,Euroleague,QUINN ELLIS,MIL,MIL,"2025-09-30, RED vs MIL",12,2,1,2,0,1,0,1,0,0,0,2,2,2,0,1
3,2025-26,Euroleague,DEVIN BOOKER,MIL,MIL,"2025-09-30, RED vs MIL",12,0,0,2,0,0,0,0,1,2,3,1,0,1,0,1
3,2025-26,Euroleague,LEANDRO BOLMARO,MIL,MIL,"2025-09-30, RED vs MIL",23,9,2,5,1,1,2,2,3,2,5,2,0,1,0,1
3,2025-26,Euroleague,ARMONI BROOKS,MIL,MIL,"2025-09-30, RED vs MIL",14,8,2,2,1,6,1,2,2,1,3,2,2,0,0,1
3,2025-26,Euroleague,ZACH LEDAY,MIL,MIL,"2025-09-30, RED vs MIL",25,21,6,9,1,2,6,7,4,1,5,0,1,1,0,3
3,2025-26,Euroleague,GIAMPAOLO RICCI,MIL,MIL,"2025-09-30, RED vs MIL",10,8,1,1,2,4,0,0,0,0,0,1,0,0,0,0
3,2025-26,Euroleague,MARKO GUDURIC,MIL,MIL,"2025-09-30, RED vs MIL",17,10,0,1,3,4,1,2,1,1,2,1,2,1,0,1
3,2025-26,Euroleague,SHAVON SHIELDS,MIL,MIL,"2025-09-30, RED vs MIL",29,13,3,4,2,4,1,1,4,0,4,2,1,2,0,2
3,2025-26,Euroleague,JOSH NEBO,MIL,MIL,"2025-09-30, RED vs MIL",28,12,5,5,0,0,2,3,4,1,5,2,0,1,0,2
4,2025-26,Euroleague,NEMANJA DANGUBIC,DUB,DUB,"2025-09-30, DUB vs PAR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,2025-26,Euroleague,DWAYNE BACON,DUB,DUB,"2025-09-30, DUB vs PAR",25,11,4,7,1,2,0,0,2,0,2,3,1,1,0,3
4,2025-26,Euroleague,AWUDU ABASS,DUB,DUB,"2025-09-30, DUB vs PAR",9,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4,2025-26,Euroleague,KLEMEN PREPELIC,DUB,DUB,"2025-09-30, DUB vs PAR",8,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2
4,2025-26,Euroleague,DAVIS BERTANS,DUB,DUB,"2025-09-30, DUB vs PAR",26,20,1,1,5,7,3,4,2,1,3,4,1,1,0,1
4,2025-26,Euroleague,JUSTIN ANDERSON,DUB,DUB,"2025-09-30, DUB vs PAR",14,2,1,1,0,1,0,0,1,0,1,1,1,0,0,1
4,2025-26,Euroleague,KOSTA KONDIC,DUB,DUB,"2025-09-30, DUB vs PAR",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
4,2025-26,Euroleague,DZANAN MUSA,DUB,DUB,"2025-09-30, DUB vs PAR",34,19,3,7,3,5,4,4,2,2,4,5,0,2,0,2
4,2025-26,Euroleague,MFIONDU KABENGELE,DUB,DUB,"2025-09-30, DUB vs PAR",15,15,6,7,0,0,3,4,3,2,5,0,0,1,0,2
4,2025-26,Euroleague,MCKINLEY WRIGHT IV,DUB,DUB,"2025-09-30, DUB vs PAR",36,5,1,7,1,1,0,0,2,1,3,7,1,0,0,3
4,2025-26,Euroleague,FILIP PETRUSEV,DUB,DUB,"2025-09-30, DUB vs PAR",25,14,7,13,0,0,0,0,5,3,8,0,1,1,0,0
4,2025-26,Euroleague,KENAN KAMENJAS,DUB,DUB,"2025-09-30, DUB vs PAR",2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0
4,2025-26,Euroleague,CARLIK JONES,PAR,PAR,"2025-09-30, DUB vs PAR",29,4,1,7,0,3,2,2,2,2,4,6,1,1,0,2
4,2025-26,Euroleague,SHAKE MILTON,PAR,PAR,"2025-09-30, DUB vs PAR",23,10,2,4,1,1,3,3,2,1,3,2,0,2,0,0
4,2025-26,Euroleague,DUANE WASHINGTON,PAR,PAR,"2025-09-30, DUB vs PAR",11,2,1,5,0,2,0,0,1,0,1,1,0,0,0,0
4,2025-26,Euroleague,DYLAN OSETKOWSKI,PAR,PAR,"2025-09-30, DUB vs PAR",14,12,2,4,1,2,5,6,0,2,2,0,1,0,0,2
4,2025-26,Euroleague,VANJA MARINKOVIC,PAR,PAR,"2025-09-30, DUB vs PAR",9,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4,2025-26,Euroleague,ALEKSEJ POKUSEVSKI,PAR,PAR,"2025-09-30, DUB vs PAR",7,6,0,0,2,2,0,0,0,0,0,0,0,1,0,2
4,2025-26,Euroleague,STERLING BROWN,PAR,PAR,"2025-09-30, DUB vs PAR",23,6,2,4,0,1,2,2,3,0,3,2,0,2,0,3
4,2025-26,Euroleague,ISAAC BONGA,PAR,PAR,"2025-09-30, DUB vs PAR",28,7,1,3,1,2,2,4,4,4,8,1,0,0,0,1
4,2025-26,Euroleague,ARIJAN LAKIC,PAR,PAR,"2025-09-30, DUB vs PAR",7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,2025-26,Euroleague,JABARI PARKER,PAR,PAR,"2025-09-30, DUB vs PAR",24,11,3,6,1,3,2,2,2,2,4,2,0,2,0,2
4,2025-26,Euroleague,TYRIQUE JONES,PAR,PAR,"2025-09-30, DUB vs PAR",26,13,6,8,0,0,1,2,3,3,6,2,2,3,2,4
5,2025-26,Euroleague,JOHNATHAN MOTLEY,HTA,HTA,"2025-09-30, HTA vs BAR",18,8,2,4,1,1,1,2,3,1,4,2,0,1,0,4
5,2025-26,Euroleague,CHRIS JONES,HTA,HTA,"2025-09-30, HTA vs BAR",22,12,3,4,2,5,0,0,2,0,2,3,1,4,0,2
5,2025-26,Euroleague,ANTONIO BLAKENEY,HTA,HTA,"2025-09-30, HTA vs BAR",19,20,0,3,3,4,11,11,1,0,1,0,0,0,2,0
5,2025-26,Euroleague,ELIJAH BRYANT,HTA,HTA,"2025-09-30, HTA vs BAR",24,11,3,7,1,2,2,2,0,2,2,8,1,2,0,2
5,2025-26,Euroleague,COLLIN MALCOLM,HTA,HTA,"2025-09-30, HTA vs BAR",19,4,2,3,0,0,0,0,1,1,2,2,1,1,1,2
5,2025-26,Euroleague,TAI ODIASE,HTA,HTA,"2025-09-30, HTA vs BAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025-26,Euroleague,VASILIJE MICIC,HTA,HTA,"2025-09-30, HTA vs BAR",28,18,3,5,4,7,0,0,3,0,3,2,1,2,0,3
5,2025-26,Euroleague,ISH WAINRIGHT,HTA,HTA,"2025-09-30, HTA vs BAR",31,8,1,1,2,5,0,0,3,1,4,0,3,0,1,2
5,2025-26,Euroleague,DAN OTURU,HTA,HTA,"2025-09-30, HTA vs BAR",23,18,9,10,0,0,0,0,1,3,4,1,0,1,1,2
5,2025-26,Euroleague,TOMER GINAT,HTA,HTA,"2025-09-30, HTA vs BAR",16,4,2,4,0,0,0,0,2,0,2,1,1,1,0,2
5,2025-26,Euroleague,KEVIN PUNTER,BAR,BAR,"2025-09-30, HTA vs BAR",26,13,1,5,3,7,2,2,0,2,2,2,2,1,0,0
5,2025-26,Euroleague,JUANI MARCOS,BAR,BAR,"2025-09-30, HTA vs BAR",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,2025-26,Euroleague,MYLES CALE,BAR,BAR,"2025-09-30, HTA vs BAR",16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,2025-26,Euroleague,JAN VESELY,BAR,BAR,"2025-09-30, HTA vs BAR",19,13,6,9,0,1,1,2,0,1,1,2,0,1,0,1
5,2025-26,Euroleague,DARIO BRIZUELA,BAR,BAR,"2025-09-30, HTA vs BAR",9,5,1,3,1,2,0,0,0,0,0,1,0,1,0,2
5,2025-26,Euroleague,TOMAS SATORANSKY,BAR,BAR,"2025-09-30, HTA vs BAR",29,5,1,2,1,3,0,2,3,2,5,4,3,2,0,2
5,2025-26,Euroleague,WILLY HERNANGOMEZ,BAR,BAR,"2025-09-30, HTA vs BAR",12,1,0,1,0,0,1,2,2,0,2,0,1,0,0,0
5,2025-26,Euroleague,YOUSSOUPHA FALL,BAR,BAR,"2025-09-30, HTA vs BAR",9,6,2,3,0,0,2,2,0,1,1,0,0,0,0,0
5,2025-26,Euroleague,NICOLAS LAPROVITTOLA,BAR,BAR,"2025-09-30, HTA vs BAR",12,6,1,1,1,4,1,1,0,0,0,3,2,1,0,3
5,2025-26,Euroleague,WILL CLYBURN,BAR,BAR,"2025-09-30, HTA vs BAR",25,23,5,6,3,5,4,4,5,2,7,2,0,1,1,1
5,2025-26,Euroleague,TORNIKE SHENGELIA,BAR,BAR,"2025-09-30, HTA vs BAR",24,8,4,5,0,1,0,0,4,3,7,3,0,4,0,4
5,2025-26,Euroleague,JOEL PARRA,BAR,BAR,"2025-09-30, HTA vs BAR",16,7,1,2,1,2,2,2,3,2,5,1,1,1,0,1
6,2025-26,Euroleague,TJ SHORTS,PAN,PAN,"2025-09-30, PAN vs MUN",11,0,0,3,0,1,0,0,0,0,0,3,0,1,0,0
6,2025-26,Euroleague,RICHAUN HOLMES,PAN,PAN,"2025-09-30, PAN vs MUN",20,9,2,4,0,0,5,5,1,2,3,2,0,1,0,3
6,2025-26,Euroleague,KOSTAS SLOUKAS,PAN,PAN,"2025-09-30, PAN vs MUN",15,7,2,3,1,2,0,0,2,0,2,2,0,0,0,2
