GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
104459,2025-26,ACB,TYSON PEREZ,UNICAJA,"2025-10-04, UNI vs SBB",12,6,2,3,0,2,2,2,2,1,3,0,0,0,0,2
104459,2025-26,ACB,OLEK BALCEROWSKI,UNICAJA,"2025-10-04, UNI vs SBB",20,17,4,6,1,1,6,7,4,0,4,0,0,1,0,4
104459,2025-26,ACB,NIHAD DJEDOVIC,UNICAJA,"2025-10-04, UNI vs SBB",20,11,4,6,1,2,0,2,1,0,1,0,1,2,0,2
104459,2025-26,ACB,CHRIS DUARTE,UNICAJA,"2025-10-04, UNI vs SBB",23,9,3,5,1,3,0,0,3,0,3,6,1,4,0,3
104459,2025-26,ACB,KENDRICK PERRY,UNICAJA,"2025-10-04, UNI vs SBB",16,7,1,2,1,2,2,2,0,0,0,5,2,0,0,3
104459,2025-26,ACB,TYLER KALINOSKI,UNICAJA,"2025-10-04, UNI vs SBB",16,6,1,3,1,1,1,2,1,2,3,2,0,1,0,2
104459,2025-26,ACB,JONATHAN BARREIRO,UNICAJA,"2025-10-04, UNI vs SBB",14,4,1,1,0,1,2,3,1,0,1,0,1,0,0,1
104459,2025-26,ACB,ALBERTO DIAZ,UNICAJA,"2025-10-04, UNI vs SBB",18,6,1,1,1,1,1,2,0,1,1,2,0,1,0,0
104459,2025-26,ACB,XAVIER CASTANEDA,UNICAJA,"2025-10-04, UNI vs SBB",13,2,1,4,0,2,0,0,1,0,1,2,1,2,0,2
104459,2025-26,ACB,EMIR SULEJMANOVIC,UNICAJA,"2025-10-04, UNI vs SBB",13,9,4,5,0,0,1,2,3,3,6,1,0,2,0,3
104459,2025-26,ACB,KILLIAN TILLIE,UNICAJA,"2025-10-04, UNI vs SBB",15,2,1,2,0,2,0,0,5,2,7,4,1,1,0,0
104459,2025-26,ACB,DAVID KRAVISH,UNICAJA,"2025-10-04, UNI vs SBB",20,7,2,5,1,1,0,0,4,1,5,4,0,2,0,3
104459,2025-26,ACB,MARGIRIS NORMANTAS,SURNE BILBAO BASKET,"2025-10-04, UNI vs SBB",21,4,1,1,0,4,2,2,2,0,2,0,0,2,0,0
104459,2025-26,ACB,HARALD FREY,SURNE BILBAO BASKET,"2025-10-04, UNI vs SBB",22,4,2,3,0,2,0,2,2,2,4,2,2,3,0,2
104459,2025-26,ACB,DARRUN HILLIARD,SURNE BILBAO BASKET,"2025-10-04, UNI vs SBB",18,14,2,4,2,6,4,4,1,0,1,2,3,2,1,1
104459,2025-26,ACB,LUKE PETRASEK,SURNE BILBAO BASKET,"2025-10-04, UNI vs SBB",21,13,2,3,3,4,0,0,1,0,1,1,0,1,0,2
104459,2025-26,ACB,TRYGGVI HLINASON,SURNE BILBAO BASKET,"2025-10-04, UNI vs SBB",24,10,4,4,0,0,2,4,4,3,7,3,0,1,2,2
