"GAME_ID","SEASON","LEAGUE","PLAYER","TEAM","MATCHUP","MIN","PTS","2PM","2PA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","TOV","BLK","PF"
"2494140D","2025-26","GBL","ΦΟΣΤΕΡ ΚAΙΛ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",13,10,0,0,2,2,4,5,0,1,1,3,1,2,0,2
"2494140D","2025-26","GBL","ΛAΜΠΡΕΧΤ ΤΙΜ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",9,8,4,5,0,0,0,0,0,1,1,0,0,0,0,1
"2494140D","2025-26","GBL","ΡAΪΤ-ΦΟΡΕΜAΝ ΤΖAΣΤΙΝ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",30,22,6,9,3,5,1,1,1,3,4,3,0,3,0,3
"2494140D","2025-26","GBL","ΝΤAΡΚΟ-ΚΕΛΙ ΖAΚΙΟΥΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",22,6,0,0,2,5,0,0,0,1,1,1,0,0,0,3
"2494140D","2025-26","GBL","ΣΜΙΘ ΚΡΙΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",23,10,4,4,0,1,2,5,2,2,4,2,2,7,0,2
"2494140D","2025-26","GBL","ΤΣΙAΚΜAΣ ΝΙΚΟΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",8,3,0,0,1,3,0,0,0,0,0,2,1,1,0,2
"2494140D","2025-26","GBL","ΠΟΥΛΙAΝΙΤΗΣ ΜAΡΙΟΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2494140D","2025-26","GBL","ΜΩΡAΪΤΗΣ ΔΗΜΗΤΡΗΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",34,14,1,3,3,10,3,4,0,0,0,8,1,0,1,4
"2494140D","2025-26","GBL","ΟΥΕAΡ ΛAΝΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",17,5,2,3,0,0,1,4,3,2,5,0,1,0,0,2
"2494140D","2025-26","GBL","ΚAΜΠΟΥΡΙΔΗΣ ΚΩΝΣΤAΝΤΙΝΟΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",16,6,0,2,2,3,0,0,1,1,2,0,2,0,0,2
"2494140D","2025-26","GBL","ΧΡΗΣΤΙΔΗΣ ΒAΣΙΛΗΣ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",14,6,3,5,0,0,0,0,2,4,6,0,1,1,1,3
"2494140D","2025-26","GBL","ΣΥΛΛAΣ ΚΟΟΥΛ - ΤΖΩΝ","ΗΡΑΚΛΗΣ","2025-10-04, ΗΡΑΚ vs ΠΡΟΜ",13,0,0,0,0,0,0,0,0,3,3,1,0,0,2,1
