GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
401859967,2025-26,NBA,OG ANUNOBY,NEW YORK KNICKS,"2026-06-13, SA vs NY",33,11,2,6,1,5,4,6,8,0,8,0,3,1,1,5
401859967,2025-26,NBA,KARL-ANTHONY TOWNS,NEW YORK KNICKS,"2026-06-13, SA vs NY",23,2,1,5,0,2,0,0,9,1,10,1,3,1,5,6
401859967,2025-26,NBA,JOSH HART,NEW YORK KNICKS,"2026-06-13, SA vs NY",39,13,1,5,3,6,2,3,8,3,11,2,0,0,1,3
401859967,2025-26,NBA,MIKAL BRIDGES,NEW YORK KNICKS,"2026-06-13, SA vs NY",39,14,2,3,3,7,1,2,2,0,2,4,0,1,0,1
401859967,2025-26,NBA,JALEN BRUNSON,NEW YORK KNICKS,"2026-06-13, SA vs NY",41,45,10,20,4,7,13,15,2,1,3,3,2,0,3,1
401859967,2025-26,NBA,MITCHELL ROBINSON,NEW YORK KNICKS,"2026-06-13, SA vs NY",20,2,1,2,0,0,0,2,4,6,10,2,0,0,0,1
401859967,2025-26,NBA,ARIEL HUKPORTI,NEW YORK KNICKS,"2026-06-13, SA vs NY",2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
401859967,2025-26,NBA,JORDAN CLARKSON,NEW YORK KNICKS,"2026-06-13, SA vs NY",6,2,1,3,0,2,0,0,0,1,1,0,0,0,0,0
401859967,2025-26,NBA,LANDRY SHAMET,NEW YORK KNICKS,"2026-06-13, SA vs NY",13,5,1,3,1,4,0,0,1,0,1,0,0,0,0,2
401859967,2025-26,NBA,JOSE ALVARADO,NEW YORK KNICKS,"2026-06-13, SA vs NY",11,0,0,3,0,2,0,0,1,0,1,0,0,0,0,1
401859967,2025-26,NBA,MILES MCBRIDE,NEW YORK KNICKS,"2026-06-13, SA vs NY",13,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1
401859967,2025-26,NBA,JULIAN CHAMPAGNIE,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",31,14,1,1,4,8,0,0,5,2,7,1,1,0,4,3
401859967,2025-26,NBA,VICTOR WEMBANYAMA,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",38,19,6,13,1,6,4,5,8,6,14,2,0,5,2,3
401859967,2025-26,NBA,DE'AARON FOX,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",37,7,2,7,1,8,0,0,0,0,0,5,2,0,1,2
401859967,2025-26,NBA,DEVIN VASSELL,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",39,12,3,3,2,5,0,0,7,0,7,2,2,1,0,1
401859967,2025-26,NBA,STEPHON CASTLE,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",32,6,1,7,0,3,4,6,4,1,5,4,1,0,3,4
401859967,2025-26,NBA,KELDON JOHNSON,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",16,7,0,2,2,3,1,2,3,2,5,0,0,0,0,2
401859967,2025-26,NBA,CARTER BRYANT,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",6,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
401859967,2025-26,NBA,LUKE KORNET,SAN ANTONIO SPURS,"2026-06-13, SA vs NY",10,0,0,1,0,0,0,0,1,1,2,0,0,0,1,2
