TEAM,GP,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
DENVER NUGGETS,88,121.1,29.2,51.9,13.9,35.5,21.1,26.1,34,9.6,43.6,28.7,6.9,4,12.8,19.4
MIAMI HEAT,82,120.9,30,55.4,13.7,37.9,19.8,25,34.5,11.8,46.3,29,8.6,4.3,13.7,18.9
OKLAHOMA CITY THUNDER,97,118.5,29.1,51.2,13.8,37.8,19,23.1,33.9,9.8,43.8,25.8,9.8,5.3,12.6,19.4
SAN ANTONIO SPURS,106,118.2,29.1,51.8,13.4,37.4,19.6,24.8,35.4,11.5,46.9,27.3,7.7,5.8,13.6,19.5
UTAH JAZZ,82,117.6,29.9,54.4,12.6,36.7,19.9,25.3,31.8,12,43.8,29.6,8.9,3.8,15.5,21.1
CLEVELAND CAVALIERS,100,117.4,28.3,49.1,14,39.5,18.9,24.6,32.1,11.7,43.8,27.1,8.4,5,14.5,19.7
ATLANTA HAWKS,88,117.2,28.7,52.1,14.4,39.3,16.6,21.5,32.2,10.9,43.1,29.6,9.2,4.7,14.2,19.8
MINNESOTA TIMBERWOLVES,94,116.8,28.9,52.5,13.3,36.4,18.9,25.1,33.1,11.2,44.3,25.7,8.4,5.5,14.7,21.6
NEW YORK KNICKS,102,116.4,28.5,51.4,14,37.4,17.2,22,33.2,12.4,45.6,27,8.2,4,13.6,20.3
CHICAGO BULLS,82,116.3,28.1,50.4,14.3,40.1,17.3,22.2,34.7,10.4,45,28.3,7.6,5,15.1,18.9
CHARLOTTE HORNETS,82,116,24.6,45.6,16.4,43.3,17.8,21.7,33.3,12.8,46.1,26.3,7,4.5,15.4,19.1
DETROIT PISTONS,96,115.9,31.6,57.9,11,30.8,19.9,26,32.3,13.1,45.3,27,10.2,6.5,15.3,22.2
NEW ORLEANS PELICANS,82,115.5,31,58.4,11.1,32.1,20.1,25.7,31.7,12.2,43.9,25.1,8.9,5.2,14.2,19.9
LOS ANGELES LAKERS,92,114.8,29.8,50.7,11.7,32.3,20.2,26.5,31.3,9.5,40.8,25.7,8.4,4.4,14.9,18.7
MEMPHIS GRIZZLIES,82,114.7,27.4,51.1,13.9,39.5,18,22.8,31,11.2,42.1,27.8,8.8,4.8,15.1,20.5
GOLDEN STATE WARRIORS,82,114.6,25.3,44.7,15.7,44.1,17,21.1,31,11.4,42.3,28.9,9.7,4.2,15.7,19.6
PORTLAND TRAIL BLAZERS,87,114.6,26.3,48,14.3,42,19.2,25,31.7,14,45.7,24.9,8.2,5.4,17,20.1
PHILADELPHIA 76ERS,93,114.4,29,54.4,12.2,35,19.8,24.5,31.6,11.4,43,24.2,8.7,5.5,13.4,20.4
ORLANDO MAGIC,89,114.3,28.7,53.8,11.7,34.1,21.9,27.5,32.3,11,43.2,26,8.6,4.8,14.2,21.2
TORONTO RAPTORS,89,114.3,31.1,56.4,11.3,31.9,18.1,23.7,31,11,42,29.2,8.8,4.9,13.8,21
BOSTON CELTICS,89,114.2,26.4,47.6,15.5,42.5,15.1,18.8,33.9,12.5,46.4,24.6,7,5,12.3,19.1
DALLAS MAVERICKS,82,114.1,30.9,57.9,11,31.9,19.5,25.8,34.2,10.5,44.7,25.3,7.5,5.2,14.5,18.4
HOUSTON ROCKETS,88,114.1,31.1,57.9,11.4,31.6,17.9,23.5,32.7,14.9,47.7,25.1,8.8,5.7,15.3,18.5
LA CLIPPERS,82,113.8,28.1,49.8,12.4,33.8,20.3,24.7,31,9.6,40.6,23.7,9,4.9,14.1,18.9
WASHINGTON WIZARDS,82,112.9,28.8,54,13,36.4,16.2,21.2,30.9,11,41.9,25,8,5.5,15.7,21.3
INDIANA PACERS,82,112.4,27.4,51.5,13.4,37.6,17.4,22.5,32.1,9.8,41.9,27.7,7.4,4.6,14.5,20.9
PHOENIX SUNS,86,112.3,26.2,49.3,14.7,40.7,15.8,20.3,30,12.9,43,24.5,9.3,4.2,14.6,20.7
SACRAMENTO KINGS,82,111,31.3,58.8,10.3,30.2,17.6,22.8,30.8,11.5,42.3,25.5,8,4.5,14.3,19.7
MILWAUKEE BUCKS,82,110.6,25.7,46.4,15.1,39.1,13.9,19.1,31.8,8.9,40.7,25.8,7.4,4,15.2,19.7
BROOKLYN NETS,82,105.9,24.4,46.1,13.1,38.4,17.9,23,29,10.3,39.3,25,8,4.3,15.8,21.1
