GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
401857178,2026,WNBA,KAYLA THORNTON,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",18,3,0,3,1,1,0,0,1,1,2,0,0,0,0,1
401857178,2026,WNBA,GABBY WILLIAMS,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",23,16,2,7,4,8,0,0,4,0,4,3,2,0,1,4
401857178,2026,WNBA,CECILIA ZANDALASINI,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",31,20,4,7,4,10,0,0,4,1,5,1,0,0,1,2
401857178,2026,WNBA,KIAH STOKES,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",26,2,1,1,0,2,0,0,7,2,9,4,1,1,0,2
401857178,2026,WNBA,VERONICA BURTON,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",27,8,2,4,1,4,1,2,2,0,2,13,1,0,0,1
401857178,2026,WNBA,LAETICIA AMIHERE,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401857178,2026,WNBA,ASHTEN PRECHTEL,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",2,3,0,0,1,1,0,0,2,0,2,0,0,0,1,0
401857178,2026,WNBA,JANELLE SALAUN,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",24,7,2,7,1,3,0,0,4,3,7,0,0,0,1,1
401857178,2026,WNBA,NADIA FINGALL,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401857178,2026,WNBA,TIFFANY HAYES,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",13,12,2,3,1,2,5,6,2,0,2,0,0,1,1,2
401857178,2026,WNBA,KAILA CHARLES,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",18,6,3,3,0,2,0,0,4,1,5,0,0,0,0,2
401857178,2026,WNBA,MIELA SOWAH,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
401857178,2026,WNBA,KAITLYN CHEN,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",11,2,1,3,0,0,0,0,0,0,0,1,0,0,1,0
401857178,2026,WNBA,JUSTE JOCYTE,GOLDEN STATE VALKYRIES,"2026-08-27, NY vs GS",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401857178,2026,WNBA,BREANNA STEWART,NEW YORK LIBERTY,"2026-08-27, NY vs GS",33,16,4,9,0,1,8,10,4,2,6,2,0,1,0,1
