TEAM,GP,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
INDIANA FEVER,40,97,23.7,43,10.4,26.4,18.3,22.6,25.4,7.8,33.2,20.8,6.8,3.9,14.4,21.5
MINNESOTA LYNX,39,91.6,24.7,46.7,9.3,23.8,14.1,17.4,25.1,9.3,34.4,21.8,8.8,4.6,13.1,18.2
ATLANTA DREAM,39,90.8,22.6,44.3,8.7,27.1,19.5,24.7,24.5,11,35.5,21.1,9,3.3,13.8,19.9
LAS VEGAS ACES,41,90.5,24.5,44.7,8.4,23.9,16.3,20,25.7,7.8,33.5,21.8,7,4.8,12.1,17.7
NEW YORK LIBERTY,40,90,21,38.1,10.1,29.1,17.8,21,27,8.2,35.2,20.8,6.1,4.2,14.6,18.5
DALLAS WINGS,39,88.8,25,47.1,8.2,24,14.4,18.2,25.5,8.6,34.1,21.8,6.8,3.9,12,18.3
LOS ANGELES SPARKS,39,87.3,23.1,42.1,8.6,25.9,15.4,19.8,23.5,7.4,30.9,21.9,7.7,3.3,15,19.8
CHICAGO SKY,39,87.2,23.5,46.5,7.5,23.4,17.8,23.2,25.4,8.1,33.4,21.5,7.1,4.7,13.3,21.1
PORTLAND FIRE,39,87,20.6,38.9,10.4,29.5,14.7,18.2,22.4,7.9,30.3,20.6,7.5,3.7,14.9,22.2
TORONTO TEMPO,39,86.7,20.2,39.8,9.8,28.1,16.8,20.8,23.3,8.5,31.8,19.8,6.8,3.2,14.5,21.4
PHOENIX MERCURY,39,83.7,21.3,41.5,7.7,23.8,18.2,23.1,24.6,6.8,31.5,19.9,7.3,3.3,13.8,18.6
SEATTLE STORM,39,83.1,21.2,42.8,8.6,26.6,15.1,18.9,25.3,8.5,33.8,19.3,7.7,4.6,14.7,19.8
WASHINGTON MYSTICS,40,82.8,23.1,45.6,6.1,19.6,18.2,24.9,27.4,10.2,37.6,19.6,5.4,3.9,15.9,19.3
GOLDEN STATE VALKYRIES,39,82.5,18.3,37.6,10.6,30.6,14.1,18.2,23.8,9.1,32.9,19.3,7.7,3.9,11.3,19.3
CONNECTICUT SUN,39,79.2,23.4,48.9,5.7,19.6,15.1,21.3,23.4,9.2,32.6,19.1,8.2,4.5,14.5,22.5
