PLAYER,TEAM,GAMES,PTS,REB,AST,3PM,STL,BLK
Jalen Brunson,NYK,3,94,7,18,7,3,0
Victor Wembanyama,SAS,3,69,45,8,5,2,19
Anthony Edwards,MIN,3,62,20,9,6,0,2
Mikal Bridges,NYK,3,58,10,8,5,4,1
Tyrese Maxey,PHI,3,56,8,15,2,2,0
Donovan Mitchell,CLE,2,54,10,5,6,3,0
Kelly Oubre Jr.,PHI,3,53,18,4,6,2,1
Paul George,PHI,3,51,14,10,12,4,2
Stephon Castle,SAS,3,51,13,21,4,2,0
LeBron James,LAL,2,50,6,12,4,4,0
Cade Cunningham,DET,2,48,6,17,5,3,2
Chet Holmgren,OKC,2,46,21,4,5,5,5
Jaden McDaniels,MIN,3,45,15,8,3,2,3
Julius Randle,MIN,3,45,21,4,2,4,0
Karl-Anthony Towns,NYK,3,45,28,20,4,1,3
De'Aaron Fox,SAS,3,43,6,13,3,4,0
OG Anunoby,NYK,2,42,8,3,4,4,2
Naz Reid,MIN,3,41,25,6,9,0,3
Tobias Harris,DET,2,41,15,1,3,4,2
Shai Gilgeous-Alexander,OKC,2,40,4,8,1,2,2
VJ Edgecombe,PHI,3,40,13,9,6,4,0
Austin Reaves,LAL,2,39,7,12,3,0,1
Ajay Mitchell,OKC,2,38,5,10,1,0,0
Devin Vassell,SAS,3,37,16,10,6,5,1
Dylan Harper,SAS,3,37,15,10,2,3,1
Duncan Robinson,DET,2,36,3,5,10,5,0
Julian Champagnie,SAS,3,35,22,5,9,4,1
Rui Hachimura,LAL,2,34,6,4,7,2,1
Terrence Shannon Jr.,MIN,3,33,12,4,1,0,0
James Harden,CLE,2,32,14,10,1,2,2
Joel Embiid,PHI,2,32,10,6,0,0,3
Keldon Johnson,SAS,3,31,14,3,2,1,1
Jared McCain,OKC,2,30,2,2,8,0,0
Daniss Jenkins,DET,2,26,13,7,2,4,0
Marcus Smart,LAL,2,26,8,12,3,5,0
Josh Hart,NYK,3,25,26,15,2,7,1
Rudy Gobert,MIN,3,25,27,6,0,4,4
Jarrett Allen,CLE,2,24,10,4,0,1,2
Evan Mobley,CLE,2,23,10,9,3,3,5
Max Strus,CLE,2,22,8,3,5,1,2
Ausar Thompson,DET,2,21,15,7,0,3,1
Jalen Duren,DET,2,19,22,5,0,0,2
Isaiah Hartenstein,OKC,2,18,18,5,0,3,3
Landry Shamet,NYK,3,18,3,2,3,2,0
Quentin Grimes,PHI,3,18,6,9,4,2,0
Cason Wallace,OKC,2,17,6,6,3,4,2
Luke Kennard,LAL,2,17,6,1,3,1,0
Dominick Barlow,PHI,3,15,6,0,0,2,2
Mike Conley,MIN,3,15,5,9,5,1,0
Miles McBride,NYK,3,15,1,5,4,0,2
Harrison Barnes,SAS,3,14,7,0,2,1,1
Dean Wade,CLE,2,13,8,1,3,1,0
Deandre Ayton,LAL,2,13,22,2,0,0,1
Dennis Schröder,CLE,2,13,4,8,1,0,0
Isaiah Joe,OKC,2,13,1,4,1,1,0
Jordan Clarkson,NYK,3,12,12,3,0,2,0
Ayo Dosunmu,MIN,2,11,7,5,3,2,1
Jose Alvarado,NYK,3,11,1,2,3,1,0
Alex Caruso,OKC,2,10,6,6,2,2,0
Jaylin Williams,OKC,2,10,9,4,3,1,0
Jaxson Hayes,LAL,2,9,9,3,0,1,0
