PLAYER,TEAM,GAMES,PTS,REB,AST,3PM,STL,BLK
Victor Wembanyama,SAS,3,88,45,12,6,3,9
Jalen Brunson,NYK,3,87,11,26,2,4,0
Shai Gilgeous-Alexander,OKC,3,80,9,33,4,6,4
Donovan Mitchell,CLE,3,78,10,8,9,9,2
Alex Caruso,OKC,3,63,8,7,14,5,3
Mikal Bridges,NYK,3,59,14,6,3,6,2
Stephon Castle,SAS,3,56,16,26,3,3,2
Devin Vassell,SAS,3,55,17,5,12,5,3
Evan Mobley,CLE,3,53,26,8,5,0,6
James Harden,CLE,3,52,15,10,5,4,1
Josh Hart,NYK,3,51,20,16,8,7,0
OG Anunoby,NYK,3,48,16,9,6,2,3
Karl-Anthony Towns,NYK,3,44,34,13,5,4,2
Jared McCain,OKC,3,43,12,5,6,2,0
Dylan Harper,SAS,3,42,16,11,2,7,0
Jarrett Allen,CLE,3,40,24,3,0,2,3
Chet Holmgren,OKC,3,35,15,3,3,1,2
Cason Wallace,OKC,3,31,15,8,8,9,0
Jalen Williams,OKC,2,30,8,3,1,3,1
Julian Champagnie,SAS,3,29,19,5,6,3,3
Keldon Johnson,SAS,3,28,7,1,6,0,0
Max Strus,CLE,3,26,13,10,7,3,0
Jaylin Williams,OKC,3,24,11,3,7,2,0
Landry Shamet,NYK,3,23,6,3,7,1,0
Sam Merrill,CLE,3,22,4,3,5,2,0
Isaiah Hartenstein,OKC,3,17,23,9,0,1,2
Ajay Mitchell,OKC,3,16,9,8,0,6,1
De'Aaron Fox,SAS,1,15,7,6,1,1,0
Dean Wade,CLE,3,13,10,7,4,1,0
Luguentz Dort,OKC,3,13,11,7,2,0,0
Dennis Schröder,CLE,3,10,4,10,2,1,0
Miles McBride,NYK,3,10,6,4,2,0,1
Mitchell Robinson,NYK,3,10,13,1,0,2,1
Luke Kornet,SAS,3,8,7,2,0,1,0
Jaylon Tyson,CLE,2,7,6,1,0,0,0
Jordan Clarkson,NYK,3,7,2,0,1,0,1
Carter Bryant,SAS,3,6,4,2,2,1,1
Jordan McLaughlin,SAS,2,6,2,2,2,0,0
Jose Alvarado,NYK,3,6,2,1,0,0,1
Harrison Barnes,SAS,3,5,3,0,1,0,0
Kenrich Williams,OKC,1,5,1,0,1,0,0
Isaiah Joe,OKC,3,3,0,2,1,0,0
Kelly Olynyk,SAS,1,3,0,0,1,0,0
Keon Ellis,CLE,2,2,0,0,0,0,0
Mason Plumlee,SAS,1,2,0,1,0,0,1
Nae'Qwan Tomlin,CLE,1,2,1,0,0,0,0
Aaron Wiggins,OKC,3,0,0,0,0,0,0
Bismack Biyombo,SAS,1,0,0,0,0,0,0
Craig Porter Jr.,CLE,1,0,0,0,0,0,0
Lindy Waters III,SAS,1,0,0,0,0,0,0
Nikola Topić,OKC,1,0,0,0,0,0,0
Pacôme Dadiet,NYK,1,0,0,0,0,0,0
Thomas Bryant,CLE,1,0,1,0,0,0,0
Tyler Kolek,NYK,1,0,0,0,0,0,0
Tyrese Proctor,CLE,1,0,0,0,0,0,0
