GAME_ID,PLAYER,LEAGUE,SEASON,MATCHUP,TEAM,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,BLK,TOV,PF
440462,A.J. Durham,Eurocup,2023-24,"2023-10-04, HAM vs KAM",Veolia Towers Hamburg,22,15,1,7,3,3,4,6,1,0,1,2,1,0,1,3
440876,A.J. Durham,Eurocup,2023-24,"2023-10-10, LON vs HAM",Veolia Towers Hamburg,28,13,5,6,0,1,3,5,7,0,7,5,1,0,4,4
440947,A.J. Durham,Eurocup,2023-24,"2023-10-18, PAR vs HAM",Veolia Towers Hamburg,23,18,3,3,2,3,6,7,2,0,2,2,0,0,2,4
441194,A.J. Durham,Eurocup,2023-24,"2023-10-31, HAM vs JOV",Veolia Towers Hamburg,20,6,2,6,0,2,2,3,2,1,3,6,0,0,3,4
441218,A.J. Durham,Eurocup,2023-24,"2023-11-08, HAM vs BES",Veolia Towers Hamburg,24,9,1,3,1,2,4,6,2,0,2,5,0,0,2,3
441249,A.J. Durham,Eurocup,2023-24,"2023-11-15, HAM vs COL",Veolia Towers Hamburg,29,21,5,9,2,3,5,7,5,1,6,4,0,0,2,3
441318,A.J. Durham,Eurocup,2023-24,"2023-11-21, WOLV vs HAM",Veolia Towers Hamburg,14,5,1,3,0,0,3,3,2,0,2,1,1,0,0,4
441320,A.J. Durham,Eurocup,2023-24,"2023-11-28, HAM vs VEN",Veolia Towers Hamburg,32,17,4,5,2,5,3,5,0,1,1,5,0,0,2,3
441681,A.J. Durham,Eurocup,2023-24,"2023-12-05, KAM vs HAM",Veolia Towers Hamburg,19,7,2,6,0,1,3,5,0,0,0,2,0,0,2,2
442046,A.J. Durham,Eurocup,2023-24,"2023-12-13, HAM vs LON",Veolia Towers Hamburg,29,15,2,4,2,5,5,5,4,1,5,7,0,0,2,4
442076,A.J. Durham,Eurocup,2023-24,"2023-12-20, HAM vs PAR",Veolia Towers Hamburg,24,11,0,4,1,2,8,8,3,1,4,4,0,1,2,3
442107,A.J. Durham,Eurocup,2023-24,"2023-12-27, HAM vs HAP",Veolia Towers Hamburg,21,8,2,6,1,2,1,2,1,2,3,6,2,0,2,5
442109,A.J. Durham,Eurocup,2023-24,"2024-01-10, JOV vs HAM",Veolia Towers Hamburg,25,16,4,5,1,1,5,8,3,3,6,4,1,0,2,4
442303,A.J. Durham,Eurocup,2023-24,"2024-01-17, BES vs HAM",Veolia Towers Hamburg,20,10,2,4,0,1,6,6,0,0,0,2,1,0,1,2
442462,A.J. Durham,Eurocup,2023-24,"2024-01-24, COL vs HAM",Veolia Towers Hamburg,11,3,1,4,0,0,1,2,1,0,1,2,1,0,1,1
442560,A.J. Durham,Eurocup,2023-24,"2024-01-30, HAM vs WOLV",Veolia Towers Hamburg,18,9,2,4,0,2,5,5,3,1,4,4,2,0,0,2
442575,A.J. Durham,Eurocup,2023-24,"2024-02-06, VEN vs HAM",Veolia Towers Hamburg,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
445190,A.J. Durham,Germany BBL,2023-24,"2023-10-08, HAM vs BAY",Veolia Towers Hamburg,26,14,4,5,0,3,6,9,4,6,10,6,0,0,1,4
445194,A.J. Durham,Germany BBL,2023-24,"2023-10-21, RUL vs HAM",Veolia Towers Hamburg,27,19,6,8,0,1,7,8,1,0,1,3,0,0,3,2
445211,A.J. Durham,Germany BBL,2023-24,"2023-10-28, HAM vs MLP",Veolia Towers Hamburg,23,21,4,5,2,2,7,8,2,1,3,3,0,0,1,1
445223,A.J. Durham,Germany BBL,2023-24,"2023-11-03, RAS vs HAM",Veolia Towers Hamburg,30,19,5,8,1,2,6,10,5,2,7,4,2,0,3,1
445237,A.J. Durham,Germany BBL,2023-24,"2023-11-11, HAM vs GOE",Veolia Towers Hamburg,23,15,2,3,2,3,5,6,5,1,6,9,1,1,3,5
445246,A.J. Durham,Germany BBL,2023-24,"2023-11-18, BRO vs HAM",Veolia Towers Hamburg,20,11,1,5,2,2,3,4,1,1,2,4,0,1,0,2
445253,A.J. Durham,Germany BBL,2023-24,"2023-11-24, HAM vs BVC",Veolia Towers Hamburg,30,23,5,7,1,1,10,11,5,2,7,5,0,0,3,4
445265,A.J. Durham,Germany BBL,2023-24,"2023-12-02, HAM vs BC",Veolia Towers Hamburg,24,13,2,4,1,2,6,6,4,0,4,5,0,0,1,3
445272,A.J. Durham,Germany BBL,2023-24,"2023-12-15, TUB vs HAM",Veolia Towers Hamburg,28,13,3,7,2,4,1,2,4,1,5,4,1,1,3,2
445286,A.J. Durham,Germany BBL,2023-24,"2023-12-23, HAM vs TBB",Veolia Towers Hamburg,19,7,1,3,0,0,5,5,1,0,1,3,1,0,1,4
445307,A.J. Durham,Germany BBL,2023-24,"2023-12-30, HAM vs CRA",Veolia Towers Hamburg,32,24,6,9,0,3,12,13,4,0,4,2,0,0,2,2
445322,A.J. Durham,Germany BBL,2023-24,"2024-01-06, BLB vs HAM",Veolia Towers Hamburg,29,20,4,7,1,1,9,10,1,0,1,4,2,0,2,3
445336,A.J. Durham,Germany BBL,2023-24,"2024-01-13, HAM vs ROST",Veolia Towers Hamburg,29,14,1,3,3,5,3,3,2,0,2,5,2,0,1,3
446502,A.J. Durham,Germany BBL,2023-24,"2024-01-20, EWE vs HAM",Veolia Towers Hamburg,18,12,2,7,0,2,8,8,0,0,0,5,3,1,2,5
446516,A.J. Durham,Germany BBL,2023-24,"2024-01-28, HAM vs RAS",Veolia Towers Hamburg,35,18,7,12,1,4,1,2,3,2,5,5,1,0,3,1
446522,A.J. Durham,Germany BBL,2023-24,"2024-02-03, TBB vs HAM",Veolia Towers Hamburg,27,13,3,6,0,2,7,8,0,0,0,6,1,0,4,5
446559,A.J. Durham,Germany BBL,2023-24,"2024-03-10, HAM vs BLB",Veolia Towers Hamburg,23,14,1,2,2,4,6,7,1,0,1,3,2,0,4,1
446570,A.J. Durham,Germany BBL,2023-24,"2024-03-17, HAM vs OLI",Veolia Towers Hamburg,14,2,1,1,0,1,0,0,2,0,2,0,1,1,5,3
446553,A.J. Durham,Germany BBL,2023-24,"2024-03-24, BAY vs HAM",Veolia Towers Hamburg,32,13,4,8,1,3,2,4,3,0,3,5,0,0,0,3
446574,A.J. Durham,Germany BBL,2023-24,"2024-03-27, BC vs HAM",Veolia Towers Hamburg,19,9,2,2,1,3,2,2,5,0,5,8,0,1,1,1
446586,A.J. Durham,Germany BBL,2023-24,"2024-03-31, HAM vs BER",Veolia Towers Hamburg,25,11,3,7,0,2,5,6,1,3,4,1,0,0,3,4
446596,A.J. Durham,Germany BBL,2023-24,"2024-04-08, MLP vs HAM",Veolia Towers Hamburg,26,20,6,8,1,2,5,6,4,0,4,4,0,0,3,2
446603,A.J. Durham,Germany BBL,2023-24,"2024-04-14, HAM vs BRO",Veolia Towers Hamburg,28,19,5,8,1,2,6,7,8,1,9,3,0,0,2,4
460451,A.J. Durham,Germany BBL,2023-24,"2024-04-17, BER vs HAM",Veolia Towers Hamburg,13,12,1,2,1,2,7,8,3,0,3,1,1,1,2,5
446607,A.J. Durham,Germany BBL,2023-24,"2024-04-20, LUD vs HAM",Veolia Towers Hamburg,11,13,0,2,2,3,7,7,0,0,0,1,0,0,2,5
446623,A.J. Durham,Germany BBL,2023-24,"2024-04-28, HAM vs EWE",Veolia Towers Hamburg,27,22,5,7,1,5,9,11,5,0,5,8,0,1,1,4
446627,A.J. Durham,Germany BBL,2023-24,"2024-04-30, CRA vs HAM",Veolia Towers Hamburg,27,19,5,11,1,3,6,8,3,1,4,3,5,0,2,3
