Campaign,Username,Profile ID,Email Ban,Account Manager(VIP) / Black List,VIP Category,Type,Value,Agent's Gender,Agent,Date of Call,Time of Call,Month of Call,Response,Attitude,Reason,Promo Code Credited,Comments,Feedback,Loyalty,Agent 2nd attempt,Response 2nd attempt,Attitude 2nd attempt,Reason 2nd attempt
GR HGC,stivos09,1581275,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,Monitored,-,-,-,-,-,-
GR HGC,VIOANNISBN3T,605354,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,-,2026-01,NOT CALLED,-,Νο register number,-,-,-,-,-,-,-,-
GR HGC,gioko4,986387,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,-,-,-,-,-,-,-
GR HGC,tsikis31,888668,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,-,2026-01,NOT CALLED,-,Νο register number,-,-,-,-,-,-,-,-
GR HGC,giortzinis1,649695,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,-,2026-01,NOT CALLED,-,Νο register number,-,-,-,-,-,-,-,-
GR HGC,gouvi65,603670,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,ANSWERED,Positive,C will deposit,-,-,-,-,-,-,-,-
GR HGC,Giorpe,818061,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,naasos72,1288544,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,UNANSWERED,-,-,-,-,-,-,N.Papachristodoulou,UNANSWERED,-,-
GR HGC,4kyoda,1062632,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,olizadebe,1109366,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,UNANSWERED,-,-,-,-,-,-,N.Papachristodoulou,UNANSWERED,-,-
GR HGC,marinaki2600,1273027,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,UNANSWERED,-,-,-,-,-,-,N.Papachristodoulou,ΑNSWERED BY 3RD PERSON,-,-
GR HGC,tokouneli,605910,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,DHMSTAM,835263,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,21-Jan-2026,12:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,annae82,764021,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,ANSWERED,Callback,-,-,in 10,-,-,V. Karakonstantis,ANSWERED,Negative,C is not interested
